nodeID,networkCanvasEgoUUID_x,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY,participant_id,in_gcc,connected_concepts,secret_word,networkCanvasEgoUUID_y,networkCanvasSessionID,total_alters
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.677438822002957,0.6396160558464223,1300.68,389.21,cmh1ulurw000lsa2750fqbpip,True,"['KaMS6JqOHq', 'uBiRoP3A3s', 'QUTNIZIDgY']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.5519145469358196,0.3816587717111277,1059.68,667.81,cmh1ulurw000lsa2750fqbpip,True,"['acTsAWfdzn', 'kojNKla2jv', 'RtJiUdZJi6', 'KaMS6JqOHq']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.4814278386288887,0.731363749688357,924.34,290.13,cmh1ulurw000lsa2750fqbpip,True,"['FGwAQx51J8', 'RtJiUdZJi6', 'ndsons1JEx', 'zfLP4gy4BA']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.4814278386288887,0.489362586221225,924.34,551.49,cmh1ulurw000lsa2750fqbpip,True,"['FGwAQx51J8', 'zfLP4gy4BA', 'KaMS6JqOHq', 'kojNKla2jv']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.6030898283093449,0.5159561206681625,1157.93,522.77,cmh1ulurw000lsa2750fqbpip,True,"['zfLP4gy4BA', 'RtJiUdZJi6', 'ZuysvCGddv', 'QUTNIZIDgY']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,acTsAWfdzn,optimisation,0.5857095440692798,0.1888556469708302,1124.56,876.04,cmh1ulurw000lsa2750fqbpip,True,['zfLP4gy4BA'],falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FGwAQx51J8,personal,0.4090099876286171,0.5611651292279565,785.3,473.94,cmh1ulurw000lsa2750fqbpip,True,"['ndsons1JEx', 'kojNKla2jv', 'RtJiUdZJi6']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,uBiRoP3A3s,progress,0.7276485320298121,0.5093077370564282,1397.09,529.95,cmh1ulurw000lsa2750fqbpip,True,"['ZuysvCGddv', 'QUTNIZIDgY']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ndsons1JEx,social networks,0.2680365710147551,0.5545167456162221,514.63,481.12,cmh1ulurw000lsa2750fqbpip,True,"['FGwAQx51J8', 'kojNKla2jv']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.6648863944962433,0.3577245907088839,1276.58,693.66,cmh1ulurw000lsa2750fqbpip,True,"['KaMS6JqOHq', 'uBiRoP3A3s', 'ZuysvCGddv']",falafel,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh1ulurw000lsa2750fqbpip,10
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.3773240667011975,0.6699313349802564,724.46,356.47,cmh20p3iy0027sa27jqf9dcog,True,"['m3bCphZ8J2', 'WAhTMmxJoA', 'ndsons1JEx']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.5336714262521937,0.593991324476259,1024.65,438.49,cmh20p3iy0027sa27jqf9dcog,True,"['fWLVVobTqz', 'WTyHE68aut']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.4258115389670127,0.5043572137174425,817.56,535.29,cmh20p3iy0027sa27jqf9dcog,True,"['bihlMPLDwN', 'ndsons1JEx', 'WTyHE68aut']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,IAg4KBbKRK,freedom,0.5851275192689771,0.4956427862825575,1123.44,544.71,cmh20p3iy0027sa27jqf9dcog,True,"['YfjJV5hkMD', '8JFsJYcFYb', 'WAhTMmxJoA', 'm3bCphZ8J2']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8JFsJYcFYb,identity,0.4416441829721769,0.5977260790912097,847.96,434.46,cmh20p3iy0027sa27jqf9dcog,True,['IAg4KBbKRK'],marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.3456587786908692,0.534235250637048,663.66,503.03,cmh20p3iy0027sa27jqf9dcog,True,"['WAhTMmxJoA', 'kojNKla2jv']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WTyHE68aut,social norms,0.2655060184147256,0.523030986792196,509.77,515.13,cmh20p3iy0027sa27jqf9dcog,True,"['fWLVVobTqz', 'bihlMPLDwN', 'kojNKla2jv']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.3595123421953878,0.4097434301386917,690.26,637.48,cmh20p3iy0027sa27jqf9dcog,True,"['ndsons1JEx', 'WAhTMmxJoA', 'IAg4KBbKRK', 'ZuysvCGddv']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,YfjJV5hkMD,truth,0.4851839539863784,0.3711509657842012,931.55,679.16,cmh20p3iy0027sa27jqf9dcog,True,"['WAhTMmxJoA', 'IAg4KBbKRK']",marmite,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cmh20p3iy0027sa27jqf9dcog,12
