OwnerUserId,AvgNormalizedScore,TotalNormalizedScore,AvgRawScore,TotalRawScore,TotalAnswers,badges,DisplayName,Reputation,CreationDate,LastAccessDate,Views,UpVotes,DownVotes
6.0,0.7276,10.1861,12.3571,173,14,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Taxonomist', 'Strunk & White', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Popular Question', 'Popular Question', 'Notable Question', 'Beta', 'Commentator', 'Mortarboard', 'Investor', 'Altruist', 'Tag Editor', 'Suffrage', 'Talkative', 'Quorum', 'Convention', 'Vox Populi', 'Synonymizer', 'Excavator', 'Caucus', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Constable', 'Explainer']",Riker,2420,2017-01-31 19:07:26.043,2022-08-28 21:23:28.733,131,104,17
16.0,0.1889,0.5667,4.3333,13,3,"['Teacher', 'Editor', 'Supporter', 'Yearling', 'Nice Answer', 'Excavator']",mic,248,2017-01-31 19:09:02.657,2020-02-25 19:15:25.487,2,20,0
18.0,0.4667,0.4667,7.0,7,1,"['Teacher', 'Student', 'Supporter', 'Autobiographer']",RocketRuwan,99,2017-01-31 19:09:30.553,2021-09-17 17:19:34.800,3,4,0
20.0,0.3193,0.9578,8.0,24,3,"['Teacher', 'Student', 'Supporter', 'Critic', 'Yearling', 'Yearling', 'Enlightened', 'Nice Answer', 'Tag Editor', 'Quorum', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Custodian']",Joe,418,2017-01-31 19:09:55.527,2021-11-28 21:08:45.967,8,15,1
21.0,0.5686,2.8428,13.4,67,5,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Popular Question', 'Beta', 'Commentator', 'Peer Pressure', 'Mortarboard', 'Talkative', 'Precognitive', 'Quorum', 'Caucus', 'Caucus', 'Constituent', 'Custodian']",gerrit,1589,2017-01-31 19:09:58.223,2024-01-18 11:04:41.247,12,114,1
22.0,0.4836,7.7372,6.0,96,16,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Citizen Patrol', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Nice Answer', 'Nice Answer', 'Commentator', 'Talkative', 'Caucus', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian']",David S,1172,2017-01-31 19:10:08.147,2023-12-15 14:17:41.880,13,69,9
26.0,0.3,0.3,6.0,6,1,['Teacher'],Franklin,61,2017-01-31 19:11:09.947,2017-01-31 20:19:34.140,0,0,0
30.0,0.3824,2.6767,4.4286,31,7,"['Teacher', 'Editor', 'Supporter', 'Yearling', 'Yearling', 'Revival', 'Precognitive', 'Caucus', 'Constituent']",Benjamin Kelley,441,2017-01-31 19:12:26.960,2024-01-12 04:17:50.633,5,12,0
33.0,0.4025,4.8295,5.1667,62,12,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Popular Question', 'Notable Question', 'Commentator', 'Peer Pressure', 'Revival', 'Caucus', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian']",Steve,1364,2017-01-31 19:14:35.353,2024-03-29 07:46:56.000,12,14,1
34.0,0.3846,0.3846,5.0,5,1,"['Teacher', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Commentator', 'Quorum', 'Custodian', 'Custodian', 'Custodian']",Robert Cartaino,145,2017-01-31 19:14:35.373,2020-06-12 19:42:09.460,17,5,40
